batch_size,component_name,compute_area_mm2,config_name,config_path,d_model,data_type,gemm_k,gemm_m,gemm_n,io_area_mm2,l3_area_mm2,latency_ms,latency_sec,memory_bandwidth_gbps,n_heads,operation_type,parameter_summary,parent_stage,row_kind,seq_len,slowdown_vs_ga100,speedup_vs_ga100,stage,throughput_per_s,throughput_unit,tokens_per_s,tokens_per_s_per_mm2,total_area_mm2
1,,0.0,GA100,configs/GA100.json,12288,fp16,,,,0.0,0.0,3111.046309622907,3.111046309622907,2048.0,96,transformer_prefill,"prefill: batch_size=1, seq_len=128, d_model=12288, n_heads=96, data_type=fp16, device_count=1",,summary,128,1.0,1.0,prefill,41.14371412732683,tok/s,41.14371412732683,,0.0
,h1_matmul1,0.0,GA100,configs/GA100.json,12288,fp16,,,,0.0,0.0,984.0299785137179,0.9840299785137179,2048.0,96,prefill_operator,"prefill: batch_size=1, seq_len=128, d_model=12288, n_heads=96, data_type=fp16, device_count=1",prefill,operator_breakdown,,1.0,1.0,prefill,,,,,0.0
,h2_matmul2,0.0,GA100,configs/GA100.json,12288,fp16,,,,0.0,0.0,1086.709141731262,1.086709141731262,2048.0,96,prefill_operator,"prefill: batch_size=1, seq_len=128, d_model=12288, n_heads=96, data_type=fp16, device_count=1",prefill,operator_breakdown,,1.0,1.0,prefill,,,,,0.0
,qkv,0.0,GA100,configs/GA100.json,12288,fp16,,,,0.0,0.0,724.876418709755,0.7248764187097549,2048.0,96,prefill_operator,"prefill: batch_size=1, seq_len=128, d_model=12288, n_heads=96, data_type=fp16, device_count=1",prefill,operator_breakdown,,1.0,1.0,prefill,,,,,0.0
,h_matmul0,0.0,GA100,configs/GA100.json,12288,fp16,,,,0.0,0.0,268.89827102422714,0.26889827102422714,2048.0,96,prefill_operator,"prefill: batch_size=1, seq_len=128, d_model=12288, n_heads=96, data_type=fp16, device_count=1",prefill,operator_breakdown,,1.0,1.0,prefill,,,,,0.0
,q_mul_k,0.0,GA100,configs/GA100.json,12288,fp16,,,,0.0,0.0,3.564303391613059,0.0035643033916130593,2048.0,96,prefill_operator,"prefill: batch_size=1, seq_len=128, d_model=12288, n_heads=96, data_type=fp16, device_count=1",prefill,operator_breakdown,,1.0,1.0,prefill,,,,,0.0
,a_mul_v,0.0,GA100,configs/GA100.json,12288,fp16,,,,0.0,0.0,3.564303391613059,0.0035643033916130593,2048.0,96,prefill_operator,"prefill: batch_size=1, seq_len=128, d_model=12288, n_heads=96, data_type=fp16, device_count=1",prefill,operator_breakdown,,1.0,1.0,prefill,,,,,0.0
,softmax,0.0,GA100,configs/GA100.json,12288,fp16,,,,0.0,0.0,1.2119316961616255,0.0012119316961616256,2048.0,96,prefill_operator,"prefill: batch_size=1, seq_len=128, d_model=12288, n_heads=96, data_type=fp16, device_count=1",prefill,operator_breakdown,,1.0,1.0,prefill,,,,,0.0
,gelu,0.0,GA100,configs/GA100.json,12288,fp16,,,,0.0,0.0,3.8340878672897762,0.0038340878672897764,2048.0,96,prefill_operator,"prefill: batch_size=1, seq_len=128, d_model=12288, n_heads=96, data_type=fp16, device_count=1",prefill,operator_breakdown,,1.0,1.0,prefill,,,,,0.0
,layernorm0,0.0,GA100,configs/GA100.json,12288,fp16,,,,0.0,0.0,9.990777354687447,0.009990777354687447,2048.0,96,prefill_operator,"prefill: batch_size=1, seq_len=128, d_model=12288, n_heads=96, data_type=fp16, device_count=1",prefill,operator_breakdown,,1.0,1.0,prefill,,,,,0.0
,layernorm1,0.0,GA100,configs/GA100.json,12288,fp16,,,,0.0,0.0,9.990777354687447,0.009990777354687447,2048.0,96,prefill_operator,"prefill: batch_size=1, seq_len=128, d_model=12288, n_heads=96, data_type=fp16, device_count=1",prefill,operator_breakdown,,1.0,1.0,prefill,,,,,0.0
1,,0.0,GA100,configs/GA100.json,12288,fp16,,,,0.0,0.0,927.4441441921226,0.9274441441921226,2048.0,96,transformer_decode,"decode: batch_size=1, seq_len=2048, d_model=12288, n_heads=96, data_type=fp16, device_count=1",,summary,2048,1.0,1.0,decode,1.0782320490805182,tok/s,1.0782320490805182,,0.0
,h1_matmul1,0.0,GA100,configs/GA100.json,12288,fp16,,,,0.0,0.0,266.85044914484024,0.26685044914484024,2048.0,96,decode_operator,"decode: batch_size=1, seq_len=2048, d_model=12288, n_heads=96, data_type=fp16, device_count=1",decode,operator_breakdown,,1.0,1.0,decode,,,,,0.0
,h2_matmul2,0.0,GA100,configs/GA100.json,12288,fp16,,,,0.0,0.0,305.7844787836075,0.3057844787836075,2048.0,96,decode_operator,"decode: batch_size=1, seq_len=2048, d_model=12288, n_heads=96, data_type=fp16, device_count=1",decode,operator_breakdown,,1.0,1.0,decode,,,,,0.0
,qkv,0.0,GA100,configs/GA100.json,12288,fp16,,,,0.0,0.0,199.91610199213028,0.19991610199213028,2048.0,96,decode_operator,"decode: batch_size=1, seq_len=2048, d_model=12288, n_heads=96, data_type=fp16, device_count=1",decode,operator_breakdown,,1.0,1.0,decode,,,,,0.0
,h_matmul0,0.0,GA100,configs/GA100.json,12288,fp16,,,,0.0,0.0,76.31871476769447,0.07631871476769447,2048.0,96,decode_operator,"decode: batch_size=1, seq_len=2048, d_model=12288, n_heads=96, data_type=fp16, device_count=1",decode,operator_breakdown,,1.0,1.0,decode,,,,,0.0
,q_mul_k,0.0,GA100,configs/GA100.json,12288,fp16,,,,0.0,0.0,36.763871088624,0.036763871088624,2048.0,96,decode_operator,"decode: batch_size=1, seq_len=2048, d_model=12288, n_heads=96, data_type=fp16, device_count=1",decode,operator_breakdown,,1.0,1.0,decode,,,,,0.0
,a_mul_v,0.0,GA100,configs/GA100.json,12288,fp16,,,,0.0,0.0,38.812399841845036,0.038812399841845036,2048.0,96,decode_operator,"decode: batch_size=1, seq_len=2048, d_model=12288, n_heads=96, data_type=fp16, device_count=1",decode,operator_breakdown,,1.0,1.0,decode,,,,,0.0
,softmax,0.0,GA100,configs/GA100.json,12288,fp16,,,,0.0,0.0,0.0,0.0,2048.0,96,decode_operator,"decode: batch_size=1, seq_len=2048, d_model=12288, n_heads=96, data_type=fp16, device_count=1",decode,operator_breakdown,,1.0,1.0,decode,,,,,0.0
,gelu,0.0,GA100,configs/GA100.json,12288,fp16,,,,0.0,0.0,0.0,0.0,2048.0,96,decode_operator,"decode: batch_size=1, seq_len=2048, d_model=12288, n_heads=96, data_type=fp16, device_count=1",decode,operator_breakdown,,1.0,1.0,decode,,,,,0.0
,layernorm0,0.0,GA100,configs/GA100.json,12288,fp16,,,,0.0,0.0,0.0,0.0,2048.0,96,decode_operator,"decode: batch_size=1, seq_len=2048, d_model=12288, n_heads=96, data_type=fp16, device_count=1",decode,operator_breakdown,,1.0,1.0,decode,,,,,0.0
,layernorm1,0.0,GA100,configs/GA100.json,12288,fp16,,,,0.0,0.0,0.0,0.0,2048.0,96,decode_operator,"decode: batch_size=1, seq_len=2048, d_model=12288, n_heads=96, data_type=fp16, device_count=1",decode,operator_breakdown,,1.0,1.0,decode,,,,,0.0
,,0.0,GA100,configs/GA100.json,,fp16,1280,16384,8192,0.0,0.0,0.02054639160633087,2.0546391606330872e-05,2048.0,,matmul,"gemm: M=16384, N=8192, K=1280, data_type=fp16",,summary,,1.0,1.0,matmul_qkv_projection,48670.34655817006,matmul/s,,,0.0
,,0.0,GA100,configs/GA100.json,,fp16,8192,16384,1024,0.0,0.0,0.016548732295632362,1.654873229563236e-05,2048.0,,matmul,"gemm: M=16384, N=1024, K=8192, data_type=fp16",,summary,,1.0,1.0,matmul_attention_output,60427.589384833176,matmul/s,,,0.0
,,0.0,GA100,configs/GA100.json,,fp16,7168,16384,8192,0.0,0.0,0.11450489610433578,0.00011450489610433578,2048.0,,matmul,"gemm: M=16384, N=8192, K=7168, data_type=fp16",,summary,,1.0,1.0,matmul_ffn_8192x7168,8733.25101390258,matmul/s,,,0.0
,,0.0,GA100,configs/GA100.json,,fp16,8192,16384,3584,0.0,0.0,0.05726965144276619,5.726965144276619e-05,2048.0,,matmul,"gemm: M=16384, N=3584, K=8192, data_type=fp16",,summary,,1.0,1.0,matmul_ffn_3584x8192,17461.25521646267,matmul/s,,,0.0
,,0.0,GA100,configs/GA100.json,,fp16,8192,8192,8192,0.0,0.0,0.06518477946519852,6.518477946519851e-05,2048.0,,matmul,"gemm: M=8192, N=8192, K=8192, data_type=fp16",,summary,,1.0,1.0,matmul_standard_8192,15341.004575061725,matmul/s,,,0.0
1,,0.0,A100-LPDDR5X,configs/A100-LPDDR5X.json,12288,fp16,,,,0.0,0.0,4162.494768090255,4.162494768090255,819.2,96,transformer_prefill,"prefill: batch_size=1, seq_len=128, d_model=12288, n_heads=96, data_type=fp16, device_count=1",,summary,128,1.3379726155843676,0.7473994522400923,prefill,30.750789401887022,tok/s,30.750789401887022,,0.0
,h1_matmul1,0.0,A100-LPDDR5X,configs/A100-LPDDR5X.json,12288,fp16,,,,0.0,0.0,1167.6186919212341,1.1676186919212341,819.2,96,prefill_operator,"prefill: batch_size=1, seq_len=128, d_model=12288, n_heads=96, data_type=fp16, device_count=1",prefill,operator_breakdown,,1.186568211757948,0.8427665515482337,prefill,,,,,0.0
,h2_matmul2,0.0,A100-LPDDR5X,configs/A100-LPDDR5X.json,12288,fp16,,,,0.0,0.0,1656.5027832984924,1.6565027832984924,819.2,96,prefill_operator,"prefill: batch_size=1, seq_len=128, d_model=12288, n_heads=96, data_type=fp16, device_count=1",prefill,operator_breakdown,,1.5243294821827658,0.6560261489976882,prefill,,,,,0.0
,qkv,0.0,A100-LPDDR5X,configs/A100-LPDDR5X.json,12288,fp16,,,,0.0,0.0,846.5118706226349,0.8465118706226349,819.2,96,prefill_operator,"prefill: batch_size=1, seq_len=128, d_model=12288, n_heads=96, data_type=fp16, device_count=1",prefill,operator_breakdown,,1.1678016400773323,0.8563098095441787,prefill,,,,,0.0
,h_matmul0,0.0,A100-LPDDR5X,configs/A100-LPDDR5X.json,12288,fp16,,,,0.0,0.0,393.54416728019714,0.39354416728019714,819.2,96,prefill_operator,"prefill: batch_size=1, seq_len=128, d_model=12288, n_heads=96, data_type=fp16, device_count=1",prefill,operator_breakdown,,1.463542944256193,0.6832734248930588,prefill,,,,,0.0
,q_mul_k,0.0,A100-LPDDR5X,configs/A100-LPDDR5X.json,12288,fp16,,,,0.0,0.0,8.525816258043044,0.008525816258043044,819.2,96,prefill_operator,"prefill: batch_size=1, seq_len=128, d_model=12288, n_heads=96, data_type=fp16, device_count=1",prefill,operator_breakdown,,2.392000714109975,0.41806007586084015,prefill,,,,,0.0
,a_mul_v,0.0,A100-LPDDR5X,configs/A100-LPDDR5X.json,12288,fp16,,,,0.0,0.0,8.525816258043044,0.008525816258043044,819.2,96,prefill_operator,"prefill: batch_size=1, seq_len=128, d_model=12288, n_heads=96, data_type=fp16, device_count=1",prefill,operator_breakdown,,2.392000714109975,0.41806007586084015,prefill,,,,,0.0
,softmax,0.0,A100-LPDDR5X,configs/A100-LPDDR5X.json,12288,fp16,,,,0.0,0.0,2.9499622760340483,0.0029499622760340485,819.2,96,prefill_operator,"prefill: batch_size=1, seq_len=128, d_model=12288, n_heads=96, data_type=fp16, device_count=1",prefill,operator_breakdown,,2.4340994507999367,0.41082955738368143,prefill,,,,,0.0
,gelu,0.0,A100-LPDDR5X,configs/A100-LPDDR5X.json,12288,fp16,,,,0.0,0.0,9.713882580399513,0.009713882580399513,819.2,96,prefill_operator,"prefill: batch_size=1, seq_len=128, d_model=12288, n_heads=96, data_type=fp16, device_count=1",prefill,operator_breakdown,,2.5335576326439333,0.39470189551458296,prefill,,,,,0.0
,layernorm0,0.0,A100-LPDDR5X,configs/A100-LPDDR5X.json,12288,fp16,,,,0.0,0.0,22.983436938375235,0.022983436938375235,819.2,96,prefill_operator,"prefill: batch_size=1, seq_len=128, d_model=12288, n_heads=96, data_type=fp16, device_count=1",prefill,operator_breakdown,,2.300465331418073,0.4346946621375821,prefill,,,,,0.0
,layernorm1,0.0,A100-LPDDR5X,configs/A100-LPDDR5X.json,12288,fp16,,,,0.0,0.0,22.983436938375235,0.022983436938375235,819.2,96,prefill_operator,"prefill: batch_size=1, seq_len=128, d_model=12288, n_heads=96, data_type=fp16, device_count=1",prefill,operator_breakdown,,2.300465331418073,0.4346946621375821,prefill,,,,,0.0
1,,0.0,A100-LPDDR5X,configs/A100-LPDDR5X.json,12288,fp16,,,,0.0,0.0,1302.7620431184914,1.3027620431184914,819.2,96,transformer_decode,"decode: batch_size=1, seq_len=2048, d_model=12288, n_heads=96, data_type=fp16, device_count=1",,summary,2048,1.4046797872159735,0.7119060223554332,decode,0.76759988923706,tok/s,0.76759988923706,,0.0
,h1_matmul1,0.0,A100-LPDDR5X,configs/A100-LPDDR5X.json,12288,fp16,,,,0.0,0.0,297.6779267191887,0.2976779267191887,819.2,96,decode_operator,"decode: batch_size=1, seq_len=2048, d_model=12288, n_heads=96, data_type=fp16, device_count=1",decode,operator_breakdown,,1.1155234239745124,0.8964401629838371,decode,,,,,0.0
,h2_matmul2,0.0,A100-LPDDR5X,configs/A100-LPDDR5X.json,12288,fp16,,,,0.0,0.0,566.7521506547928,0.5667521506547928,819.2,96,decode_operator,"decode: batch_size=1, seq_len=2048, d_model=12288, n_heads=96, data_type=fp16, device_count=1",decode,operator_breakdown,,1.8534366195082865,0.5395382768822699,decode,,,,,0.0
,qkv,0.0,A100-LPDDR5X,configs/A100-LPDDR5X.json,12288,fp16,,,,0.0,0.0,222.50662744045258,0.22250662744045258,819.2,96,decode_operator,"decode: batch_size=1, seq_len=2048, d_model=12288, n_heads=96, data_type=fp16, device_count=1",decode,operator_breakdown,,1.1130000296284868,0.8984725726681198,decode,,,,,0.0
,h_matmul0,0.0,A100-LPDDR5X,configs/A100-LPDDR5X.json,12288,fp16,,,,0.0,0.0,121.36011198163033,0.12136011198163033,819.2,96,decode_operator,"decode: batch_size=1, seq_len=2048, d_model=12288, n_heads=96, data_type=fp16, device_count=1",decode,operator_breakdown,,1.5901749964086367,0.628861604702923,decode,,,,,0.0
,q_mul_k,0.0,A100-LPDDR5X,configs/A100-LPDDR5X.json,12288,fp16,,,,0.0,0.0,50.58505944907665,0.05058505944907665,819.2,96,decode_operator,"decode: batch_size=1, seq_len=2048, d_model=12288, n_heads=96, data_type=fp16, device_count=1",decode,operator_breakdown,,1.3759448597547008,0.7267733099262981,decode,,,,,0.0
,a_mul_v,0.0,A100-LPDDR5X,configs/A100-LPDDR5X.json,12288,fp16,,,,0.0,0.0,40.23606609553098,0.04023606609553098,819.2,96,decode_operator,"decode: batch_size=1, seq_len=2048, d_model=12288, n_heads=96, data_type=fp16, device_count=1",decode,operator_breakdown,,1.0366807066681571,0.9646171608748781,decode,,,,,0.0
,softmax,0.0,A100-LPDDR5X,configs/A100-LPDDR5X.json,12288,fp16,,,,0.0,0.0,0.0,0.0,819.2,96,decode_operator,"decode: batch_size=1, seq_len=2048, d_model=12288, n_heads=96, data_type=fp16, device_count=1",decode,operator_breakdown,,1.0,1.0,decode,,,,,0.0
,gelu,0.0,A100-LPDDR5X,configs/A100-LPDDR5X.json,12288,fp16,,,,0.0,0.0,0.0,0.0,819.2,96,decode_operator,"decode: batch_size=1, seq_len=2048, d_model=12288, n_heads=96, data_type=fp16, device_count=1",decode,operator_breakdown,,1.0,1.0,decode,,,,,0.0
,layernorm0,0.0,A100-LPDDR5X,configs/A100-LPDDR5X.json,12288,fp16,,,,0.0,0.0,0.0,0.0,819.2,96,decode_operator,"decode: batch_size=1, seq_len=2048, d_model=12288, n_heads=96, data_type=fp16, device_count=1",decode,operator_breakdown,,1.0,1.0,decode,,,,,0.0
,layernorm1,0.0,A100-LPDDR5X,configs/A100-LPDDR5X.json,12288,fp16,,,,0.0,0.0,0.0,0.0,819.2,96,decode_operator,"decode: batch_size=1, seq_len=2048, d_model=12288, n_heads=96, data_type=fp16, device_count=1",decode,operator_breakdown,,1.0,1.0,decode,,,,,0.0
,,0.0,A100-LPDDR5X,configs/A100-LPDDR5X.json,,fp16,1280,16384,8192,0.0,0.0,0.023811589926481247,2.3811589926481247e-05,819.2,,matmul,"gemm: M=16384, N=8192, K=1280, data_type=fp16",,summary,,1.1589183338228735,0.8628735699618657,matmul_qkv_projection,41996.355685929404,matmul/s,,,0.0
,,0.0,A100-LPDDR5X,configs/A100-LPDDR5X.json,,fp16,8192,16384,1024,0.0,0.0,0.01890355721116066,1.890355721116066e-05,819.2,,matmul,"gemm: M=16384, N=1024, K=8192, data_type=fp16",,summary,,1.1422963930687184,0.8754295348106222,matmul_attention_output,52900.0964648918,matmul/s,,,0.0
,,0.0,A100-LPDDR5X,configs/A100-LPDDR5X.json,,fp16,7168,16384,8192,0.0,0.0,0.13592347502708435,0.00013592347502708435,819.2,,matmul,"gemm: M=16384, N=8192, K=7168, data_type=fp16",,summary,,1.1870538260934465,0.8424217824148429,matmul_ffn_8192x7168,7357.080885408045,matmul/s,,,0.0
,,0.0,A100-LPDDR5X,configs/A100-LPDDR5X.json,,fp16,8192,16384,3584,0.0,0.0,0.06606421619653702,6.606421619653701e-05,819.2,,matmul,"gemm: M=16384, N=3584, K=8192, data_type=fp16",,summary,,1.1535641396832996,0.8668785424229127,matmul_ffn_3584x8192,15136.787470921641,matmul/s,,,0.0
,,0.0,A100-LPDDR5X,configs/A100-LPDDR5X.json,,fp16,8192,8192,8192,0.0,0.0,0.07758516818284988,7.758516818284989e-05,819.2,,matmul,"gemm: M=8192, N=8192, K=8192, data_type=fp16",,summary,,1.1902344200500334,0.8401706278650245,matmul_standard_8192,12889.061445909823,matmul/s,,,0.0
